Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Geo_TRACT,TotPop,MalePop,FemalePop,AvgHHSize,MedianHHIncome
36005000100,14000US36005000100,"Census Tract 1, Bronx County, New York","Census Tract 1, Bronx County, New York",ny,140,0,ACSSF,3481,36,5,100,7411,6857,554,,
36005000200,14000US36005000200,"Census Tract 2, Bronx County, New York","Census Tract 2, Bronx County, New York",ny,140,0,ACSSF,3482,36,5,200,5058,2502,2556,3.82,62773
36005000400,14000US36005000400,"Census Tract 4, Bronx County, New York","Census Tract 4, Bronx County, New York",ny,140,0,ACSSF,3483,36,5,400,5944,2984,2960,3.06,82697
36005001600,14000US36005001600,"Census Tract 16, Bronx County, New York","Census Tract 16, Bronx County, New York",ny,140,0,ACSSF,3484,36,5,1600,6115,2351,3764,2.99,33118
36005001900,14000US36005001900,"Census Tract 19, Bronx County, New York","Census Tract 19, Bronx County, New York",ny,140,0,ACSSF,3485,36,5,1900,2817,1327,1490,2.4,40117
36005002000,14000US36005002000,"Census Tract 20, Bronx County, New York","Census Tract 20, Bronx County, New York",ny,140,0,ACSSF,3486,36,5,2000,9608,3872,5736,3.13,18370
36005002300,14000US36005002300,"Census Tract 23, Bronx County, New York","Census Tract 23, Bronx County, New York",ny,140,0,ACSSF,3487,36,5,2300,4733,2218,2515,2.39,17426
36005002400,14000US36005002400,"Census Tract 24, Bronx County, New York","Census Tract 24, Bronx County, New York",ny,140,0,ACSSF,3488,36,5,2400,130,96,34,4.64,
36005002500,14000US36005002500,"Census Tract 25, Bronx County, New York","Census Tract 25, Bronx County, New York",ny,140,0,ACSSF,3489,36,5,2500,5760,2666,3094,3.05,22771
36005002701,14000US36005002701,"Census Tract 27.01, Bronx County, New York","Census Tract 27.01, Bronx County, New York",ny,140,0,ACSSF,3490,36,5,2701,2958,1317,1641,2.79,17383
36005002702,14000US36005002702,"Census Tract 27.02, Bronx County, New York","Census Tract 27.02, Bronx County, New York",ny,140,0,ACSSF,3491,36,5,2702,4538,2212,2326,2.88,13216
36005002800,14000US36005002800,"Census Tract 28, Bronx County, New York","Census Tract 28, Bronx County, New York",ny,140,0,ACSSF,3492,36,5,2800,5423,2299,3124,2.28,52294
36005003100,14000US36005003100,"Census Tract 31, Bronx County, New York","Census Tract 31, Bronx County, New York",ny,140,0,ACSSF,3493,36,5,3100,1675,915,760,2.97,42353
36005003300,14000US36005003300,"Census Tract 33, Bronx County, New York","Census Tract 33, Bronx County, New York",ny,140,0,ACSSF,3494,36,5,3300,3693,1598,2095,3.04,20413
36005003500,14000US36005003500,"Census Tract 35, Bronx County, New York","Census Tract 35, Bronx County, New York",ny,140,0,ACSSF,3495,36,5,3500,3821,1703,2118,2.86,31638
36005003700,14000US36005003700,"Census Tract 37, Bronx County, New York","Census Tract 37, Bronx County, New York",ny,140,0,ACSSF,3496,36,5,3700,292,152,140,2.04,
36005003800,14000US36005003800,"Census Tract 38, Bronx County, New York","Census Tract 38, Bronx County, New York",ny,140,0,ACSSF,3497,36,5,3800,1437,688,749,3.54,36667
36005003900,14000US36005003900,"Census Tract 39, Bronx County, New York","Census Tract 39, Bronx County, New York",ny,140,0,ACSSF,3498,36,5,3900,6473,3114,3359,3.24,30357
36005004001,14000US36005004001,"Census Tract 40.01, Bronx County, New York","Census Tract 40.01, Bronx County, New York",ny,140,0,ACSSF,3499,36,5,4001,1428,700,728,2.89,49706
36005004100,14000US36005004100,"Census Tract 41, Bronx County, New York","Census Tract 41, Bronx County, New York",ny,140,0,ACSSF,3500,36,5,4100,5946,2931,3015,2.91,20137
36005004200,14000US36005004200,"Census Tract 42, Bronx County, New York","Census Tract 42, Bronx County, New York",ny,140,0,ACSSF,3501,36,5,4200,7814,3605,4209,2.89,30710
36005004300,14000US36005004300,"Census Tract 43, Bronx County, New York","Census Tract 43, Bronx County, New York",ny,140,0,ACSSF,3502,36,5,4300,6190,3244,2946,3.01,22940
36005004400,14000US36005004400,"Census Tract 44, Bronx County, New York","Census Tract 44, Bronx County, New York",ny,140,0,ACSSF,3503,36,5,4400,4446,1874,2572,2.59,19077
36005004600,14000US36005004600,"Census Tract 46, Bronx County, New York","Census Tract 46, Bronx County, New York",ny,140,0,ACSSF,3504,36,5,4600,1876,907,969,2.61,39643
36005004800,14000US36005004800,"Census Tract 48, Bronx County, New York","Census Tract 48, Bronx County, New York",ny,140,0,ACSSF,3505,36,5,4800,4536,2286,2250,3.41,32872
36005005001,14000US36005005001,"Census Tract 50.01, Bronx County, New York","Census Tract 50.01, Bronx County, New York",ny,140,0,ACSSF,3506,36,5,5001,5101,2534,2567,3,24683
36005005002,14000US36005005002,"Census Tract 50.02, Bronx County, New York","Census Tract 50.02, Bronx County, New York",ny,140,0,ACSSF,3507,36,5,5002,5583,2954,2629,2.9,27321
36005005100,14000US36005005100,"Census Tract 51, Bronx County, New York","Census Tract 51, Bronx County, New York",ny,140,0,ACSSF,3508,36,5,5100,5721,2288,3433,2.78,18428
36005005200,14000US36005005200,"Census Tract 52, Bronx County, New York","Census Tract 52, Bronx County, New York",ny,140,0,ACSSF,3509,36,5,5200,2151,927,1224,2.61,17454
36005005300,14000US36005005300,"Census Tract 53, Bronx County, New York","Census Tract 53, Bronx County, New York",ny,140,0,ACSSF,3510,36,5,5300,4167,1653,2514,2.76,13519
36005005400,14000US36005005400,"Census Tract 54, Bronx County, New York","Census Tract 54, Bronx County, New York",ny,140,0,ACSSF,3511,36,5,5400,6463,3206,3257,3.59,31692
36005005600,14000US36005005600,"Census Tract 56, Bronx County, New York","Census Tract 56, Bronx County, New York",ny,140,0,ACSSF,3512,36,5,5600,2608,1139,1469,2.95,21367
36005005902,14000US36005005902,"Census Tract 59.02, Bronx County, New York","Census Tract 59.02, Bronx County, New York",ny,140,0,ACSSF,3513,36,5,5902,2757,1336,1421,2.67,29794
36005006000,14000US36005006000,"Census Tract 60, Bronx County, New York","Census Tract 60, Bronx County, New York",ny,140,0,ACSSF,3514,36,5,6000,1328,652,676,3.68,38321
36005006100,14000US36005006100,"Census Tract 61, Bronx County, New York","Census Tract 61, Bronx County, New York",ny,140,0,ACSSF,3515,36,5,6100,3869,1901,1968,1.76,42200
36005006200,14000US36005006200,"Census Tract 62, Bronx County, New York","Census Tract 62, Bronx County, New York",ny,140,0,ACSSF,3516,36,5,6200,7268,3594,3674,2.99,24152
36005006300,14000US36005006300,"Census Tract 63, Bronx County, New York","Census Tract 63, Bronx County, New York",ny,140,0,ACSSF,3517,36,5,6300,4298,2337,1961,2.3,30524
36005006400,14000US36005006400,"Census Tract 64, Bronx County, New York","Census Tract 64, Bronx County, New York",ny,140,0,ACSSF,3518,36,5,6400,3309,1618,1691,2.57,31782
36005006500,14000US36005006500,"Census Tract 65, Bronx County, New York","Census Tract 65, Bronx County, New York",ny,140,0,ACSSF,3519,36,5,6500,5471,2901,2570,2.83,25526
36005006700,14000US36005006700,"Census Tract 67, Bronx County, New York","Census Tract 67, Bronx County, New York",ny,140,0,ACSSF,3520,36,5,6700,7314,3277,4037,3.15,20972
36005006800,14000US36005006800,"Census Tract 68, Bronx County, New York","Census Tract 68, Bronx County, New York",ny,140,0,ACSSF,3521,36,5,6800,3435,1923,1512,3.36,48730
36005006900,14000US36005006900,"Census Tract 69, Bronx County, New York","Census Tract 69, Bronx County, New York",ny,140,0,ACSSF,3522,36,5,6900,8351,3920,4431,3.05,27950
36005007000,14000US36005007000,"Census Tract 70, Bronx County, New York","Census Tract 70, Bronx County, New York",ny,140,0,ACSSF,3523,36,5,7000,4899,2279,2620,3.63,36016
36005007100,14000US36005007100,"Census Tract 71, Bronx County, New York","Census Tract 71, Bronx County, New York",ny,140,0,ACSSF,3524,36,5,7100,2702,1183,1519,2.69,38600
36005007200,14000US36005007200,"Census Tract 72, Bronx County, New York","Census Tract 72, Bronx County, New York",ny,140,0,ACSSF,3525,36,5,7200,5520,2811,2709,3.35,37271
