Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Geo_TRACT,TotPop,MalePop,FemalePop,AvgHHSize,MedianHHIncome
36047000100,14000US36047000100,"Census Tract 1, Kings County, New York","Census Tract 1, Kings County, New York",ny,140,0,ACSSF,4489,36,47,100,4116,1998,2118,1.7,88238
36047000200,14000US36047000200,"Census Tract 2, Kings County, New York","Census Tract 2, Kings County, New York",ny,140,0,ACSSF,4490,36,47,200,1506,871,635,3.9,34931
36047000301,14000US36047000301,"Census Tract 3.01, Kings County, New York","Census Tract 3.01, Kings County, New York",ny,140,0,ACSSF,4491,36,47,301,4340,2086,2254,2.06,130063
36047000501,14000US36047000501,"Census Tract 5.01, Kings County, New York","Census Tract 5.01, Kings County, New York",ny,140,0,ACSSF,4492,36,47,501,4536,1944,2592,1.84,129107
36047000502,14000US36047000502,"Census Tract 5.02, Kings County, New York","Census Tract 5.02, Kings County, New York",ny,140,0,ACSSF,4493,36,47,502,2756,1329,1427,1.7,106667
36047000700,14000US36047000700,"Census Tract 7, Kings County, New York","Census Tract 7, Kings County, New York",ny,140,0,ACSSF,4494,36,47,700,4054,1986,2068,2.26,157534
36047000900,14000US36047000900,"Census Tract 9, Kings County, New York","Census Tract 9, Kings County, New York",ny,140,0,ACSSF,4495,36,47,900,4410,2304,2106,1.97,161144
36047001100,14000US36047001100,"Census Tract 11, Kings County, New York","Census Tract 11, Kings County, New York",ny,140,0,ACSSF,4496,36,47,1100,1237,674,563,1.89,126726
36047001300,14000US36047001300,"Census Tract 13, Kings County, New York","Census Tract 13, Kings County, New York",ny,140,0,ACSSF,4497,36,47,1300,2401,1285,1116,1.82,112000
36047001500,14000US36047001500,"Census Tract 15, Kings County, New York","Census Tract 15, Kings County, New York",ny,140,0,ACSSF,4498,36,47,1500,7391,3442,3949,2.26,102899
36047001800,14000US36047001800,"Census Tract 18, Kings County, New York","Census Tract 18, Kings County, New York",ny,140,0,ACSSF,4499,36,47,1800,2022,2004,18,,
36047002000,14000US36047002000,"Census Tract 20, Kings County, New York","Census Tract 20, Kings County, New York",ny,140,0,ACSSF,4500,36,47,2000,1232,650,582,3.23,64653
36047002100,14000US36047002100,"Census Tract 21, Kings County, New York","Census Tract 21, Kings County, New York",ny,140,0,ACSSF,4501,36,47,2100,4910,2514,2396,2.37,212159
36047002200,14000US36047002200,"Census Tract 22, Kings County, New York","Census Tract 22, Kings County, New York",ny,140,0,ACSSF,4502,36,47,2200,4907,2287,2620,2.87,37299
36047002300,14000US36047002300,"Census Tract 23, Kings County, New York","Census Tract 23, Kings County, New York",ny,140,0,ACSSF,4503,36,47,2300,4707,2144,2563,2.94,19510
36047002901,14000US36047002901,"Census Tract 29.01, Kings County, New York","Census Tract 29.01, Kings County, New York",ny,140,0,ACSSF,4504,36,47,2901,4289,1755,2534,2.85,22905
36047003000,14000US36047003000,"Census Tract 30, Kings County, New York","Census Tract 30, Kings County, New York",ny,140,0,ACSSF,4505,36,47,3000,1780,848,932,2.6,70125
36047003100,14000US36047003100,"Census Tract 31, Kings County, New York","Census Tract 31, Kings County, New York",ny,140,0,ACSSF,4506,36,47,3100,2800,1320,1480,1.87,85577
36047003300,14000US36047003300,"Census Tract 33, Kings County, New York","Census Tract 33, Kings County, New York",ny,140,0,ACSSF,4507,36,47,3300,3512,1662,1850,1.98,118565
36047003400,14000US36047003400,"Census Tract 34, Kings County, New York","Census Tract 34, Kings County, New York",ny,140,0,ACSSF,4508,36,47,3400,3022,1487,1535,2.29,77216
36047003500,14000US36047003500,"Census Tract 35, Kings County, New York","Census Tract 35, Kings County, New York",ny,140,0,ACSSF,4509,36,47,3500,1708,759,949,1.98,79083
36047003600,14000US36047003600,"Census Tract 36, Kings County, New York","Census Tract 36, Kings County, New York",ny,140,0,ACSSF,4510,36,47,3600,4245,1922,2323,2.33,67105
36047003700,14000US36047003700,"Census Tract 37, Kings County, New York","Census Tract 37, Kings County, New York",ny,140,0,ACSSF,4511,36,47,3700,1175,614,561,1.88,136176
36047003800,14000US36047003800,"Census Tract 38, Kings County, New York","Census Tract 38, Kings County, New York",ny,140,0,ACSSF,4512,36,47,3800,1506,820,686,2.43,86000
36047003900,14000US36047003900,"Census Tract 39, Kings County, New York","Census Tract 39, Kings County, New York",ny,140,0,ACSSF,4513,36,47,3900,2411,1126,1285,2.03,108214
36047004100,14000US36047004100,"Census Tract 41, Kings County, New York","Census Tract 41, Kings County, New York",ny,140,0,ACSSF,4514,36,47,4100,3649,1780,1869,2.29,121818
36047004300,14000US36047004300,"Census Tract 43, Kings County, New York","Census Tract 43, Kings County, New York",ny,140,0,ACSSF,4515,36,47,4300,3336,1775,1561,2.05,120368
36047004400,14000US36047004400,"Census Tract 44, Kings County, New York","Census Tract 44, Kings County, New York",ny,140,0,ACSSF,4516,36,47,4400,2373,1239,1134,2.51,108125
36047004500,14000US36047004500,"Census Tract 45, Kings County, New York","Census Tract 45, Kings County, New York",ny,140,0,ACSSF,4517,36,47,4500,3651,1713,1938,2.16,145721
36047004600,14000US36047004600,"Census Tract 46, Kings County, New York","Census Tract 46, Kings County, New York",ny,140,0,ACSSF,4518,36,47,4600,1378,662,716,2.64,103750
36047004700,14000US36047004700,"Census Tract 47, Kings County, New York","Census Tract 47, Kings County, New York",ny,140,0,ACSSF,4519,36,47,4700,2025,992,1033,2.54,107198
36047004900,14000US36047004900,"Census Tract 49, Kings County, New York","Census Tract 49, Kings County, New York",ny,140,0,ACSSF,4520,36,47,4900,2631,1338,1293,2.23,125833
36047005000,14000US36047005000,"Census Tract 50, Kings County, New York","Census Tract 50, Kings County, New York",ny,140,0,ACSSF,4521,36,47,5000,2369,1040,1329,2.41,104890
36047005100,14000US36047005100,"Census Tract 51, Kings County, New York","Census Tract 51, Kings County, New York",ny,140,0,ACSSF,4522,36,47,5100,2523,1286,1237,2.29,99792
36047005201,14000US36047005201,"Census Tract 52.01, Kings County, New York","Census Tract 52.01, Kings County, New York",ny,140,0,ACSSF,4523,36,47,5201,1662,673,989,1.57,31302
36047005202,14000US36047005202,"Census Tract 52.02, Kings County, New York","Census Tract 52.02, Kings County, New York",ny,140,0,ACSSF,4524,36,47,5202,2424,1131,1293,1.72,74083
36047005300,14000US36047005300,"Census Tract 53, Kings County, New York","Census Tract 53, Kings County, New York",ny,140,0,ACSSF,4525,36,47,5300,2420,1349,1071,2.52,93750
36047005400,14000US36047005400,"Census Tract 54, Kings County, New York","Census Tract 54, Kings County, New York",ny,140,0,ACSSF,4526,36,47,5400,3054,1423,1631,1.96,67015
36047005601,14000US36047005601,"Census Tract 56.01, Kings County, New York","Census Tract 56.01, Kings County, New York",ny,140,0,ACSSF,4527,36,47,5601,2302,1022,1280,1.67,76413
36047005602,14000US36047005602,"Census Tract 56.02, Kings County, New York","Census Tract 56.02, Kings County, New York",ny,140,0,ACSSF,4528,36,47,5602,1608,713,895,1.89,66750
36047005800,14000US36047005800,"Census Tract 58, Kings County, New York","Census Tract 58, Kings County, New York",ny,140,0,ACSSF,4529,36,47,5800,3205,1596,1609,2.27,46985
36047005900,14000US36047005900,"Census Tract 59, Kings County, New York","Census Tract 59, Kings County, New York",ny,140,0,ACSSF,4530,36,47,5900,1337,696,641,2.17,70833
36047006000,14000US36047006000,"Census Tract 60, Kings County, New York","Census Tract 60, Kings County, New York",ny,140,0,ACSSF,4531,36,47,6000,2745,1416,1329,2.87,86800
36047006200,14000US36047006200,"Census Tract 62, Kings County, New York","Census Tract 62, Kings County, New York",ny,140,0,ACSSF,4532,36,47,6200,2908,1459,1449,2.51,63750
36047006300,14000US36047006300,"Census Tract 63, Kings County, New York","Census Tract 63, Kings County, New York",ny,140,0,ACSSF,4533,36,47,6300,1967,854,1113,2.23,111313
36047006400,14000US36047006400,"Census Tract 64, Kings County, New York","Census Tract 64, Kings County, New York",ny,140,0,ACSSF,4534,36,47,6400,3171,1513,1658,2.33,71781
