ID,SalaryPY,SalaryCY,BonusPY,BonusCY,Region,Title,Years,Reports,Review,Sector,Level,Career,Office,Floor,Retirement
3,254007,292726,214152,218272,AIPAC,VP,6,34,Neutral,Pharma,VP,Senior,Shared,45,Ineligible
5,102600,104534,49399,55855,AIPAC,Associate,4,4,Positive,Tech,Junior,Junior,Cubicle,17,Ineligible
9,69485,70393,21565,22062,AIPAC,Analyst,1,0,Neutral,Pharma,Junior,Junior,Cubicle,7,Ineligible
10,257887,283360,205001,223527,AIPAC,VP,7,30,Positive,Real Estate,VP,Senior,Shared,42,Ineligible
16,272971,292616,230176,235473,AIPAC,VP,16,30,Neutral,Retail,VP,Senior,Shared,17,Ineligible
17,107544,112848,56154,54221,AIPAC,Associate,6,2,Positive,Media,Junior,Junior,Cubicle,16,Ineligible
18,1801532,2167743,5443957,6408790,AIPAC,MD,25,342,Neutral,Pharma,Executive,Senior,Corner,18,Eligible
19,101373,100801,53832,52348,AIPAC,Associate,3,2,Positive,Real Estate,Junior,Junior,Cubicle,19,Ineligible
21,112543,118500,52191,51302,AIPAC,Associate,5,4,Positive,Pharma,Junior,Junior,Cubicle,11,Ineligible
24,92191,93085,44628,46638,AIPAC,Associate,3,1,Positive,Pharma,Junior,Junior,Cubicle,30,Ineligible
30,63942,65784,19220,19741,AIPAC,Analyst,2,0,Neutral,Real Estate,Junior,Junior,Cubicle,39,Ineligible
31,68995,78749,19599,26212,AIPAC,Analyst,2,0,Neutral,Media,Junior,Junior,Cubicle,11,Ineligible
35,233894,248725,183061,197359,AIPAC,VP,8,29,Neutral,Pharma,VP,Senior,Shared,37,Ineligible
39,1958792,2588554,5915873,7788688,AIPAC,MD,19,378,Neutral,Real Estate,Executive,Senior,Corner,10,Ineligible
41,64878,66491,22943,19673,AIPAC,Analyst,2,0,Neutral,Tech,Junior,Junior,Cubicle,18,Ineligible
42,65397,64208,19508,18897,AIPAC,Analyst,3,0,Negative,Media,Junior,Junior,Cubicle,22,Ineligible
44,61211,63950,19418,17523,AIPAC,Analyst,3,0,Negative,Real Estate,Junior,Junior,Cubicle,27,Ineligible
45,55012,56796,15703,18190,AIPAC,Analyst,2,0,Negative,Pharma,Junior,Junior,Cubicle,44,Ineligible
46,68797,66485,19649,17868,AIPAC,Analyst,2,0,Neutral,Media,Junior,Junior,Cubicle,6,Ineligible
52,74521,76568,27939,22491,AIPAC,Analyst,2,0,Positive,Pharma,Junior,Junior,Cubicle,4,Ineligible
59,111876,133258,56135,66872,AIPAC,Associate,6,3,Positive,Tech,Junior,Junior,Cubicle,46,Ineligible
60,244530,265438,188962,197800,AIPAC,VP,14,28,Neutral,Media,VP,Senior,Shared,36,Ineligible
