ID,SalaryPY,SalaryCY,BonusPY,BonusCY,Region,Title,Years,Reports,Review,Sector,Level,Career,Office,Floor,Retirement
13,1634142,2012431,4960968,6051970,Europe,MD,25,307,Neutral,Real Estate,Executive,Senior,Corner,21,Eligible
34,74373,80832,17263,25049,Europe,Analyst,2,0,Positive,Pharma,Junior,Junior,Cubicle,3,Ineligible
50,58526,62863,15245,18491,Europe,Analyst,2,0,Neutral,Real Estate,Junior,Junior,Cubicle,34,Ineligible
63,59946,59059,15904,19215,Europe,Analyst,2,0,Neutral,Pharma,Junior,Junior,Cubicle,29,Ineligible
65,114712,118754,57086,51540,Europe,Associate,5,5,Positive,Real Estate,Junior,Junior,Cubicle,47,Ineligible
98,64340,66687,19181,18553,Europe,Analyst,3,0,Neutral,Tech,Junior,Junior,Cubicle,37,Ineligible
109,72451,76451,25397,24198,Europe,Analyst,3,0,Positive,Media,Junior,Junior,Cubicle,38,Ineligible
125,1780824,2218417,5303605,6709923,Europe,MD,19,341,Neutral,Real Estate,Executive,Senior,Corner,33,Ineligible
127,65506,63182,18004,16040,Europe,Analyst,3,0,Neutral,Tech,Junior,Junior,Cubicle,5,Ineligible
130,71347,73990,23316,21779,Europe,Analyst,2,0,Positive,Tech,Junior,Junior,Cubicle,15,Ineligible
133,286202,331400,231098,271927,Europe,VP,13,33,Positive,Retail,VP,Senior,Shared,3,Ineligible
135,260507,282500,202126,218785,Europe,VP,15,28,Neutral,Media,VP,Senior,Shared,37,Ineligible
136,63194,72636,20354,22277,Europe,Analyst,2,0,Neutral,Pharma,Junior,Junior,Cubicle,1,Ineligible
139,219740,253109,185013,212389,Europe,VP,8,26,Negative,Tech,VP,Senior,Shared,8,Ineligible
144,61645,62001,20135,18241,Europe,Analyst,2,0,Neutral,Tech,Junior,Junior,Cubicle,43,Ineligible
161,69470,72150,21110,19751,Europe,Analyst,2,0,Positive,Law,Junior,Junior,Cubicle,17,Ineligible
192,72687,78572,21821,26065,Europe,Analyst,2,0,Positive,Retail,Junior,Junior,Cubicle,21,Ineligible
198,252586,270732,202285,225748,Europe,VP,7,32,Positive,Pharma,VP,Senior,Shared,19,Ineligible
233,49011,52039,14354,15377,Europe,Analyst,2,0,Negative,Pharma,Junior,Junior,Cubicle,42,Ineligible
235,269905,312740,212361,251007,Europe,VP,15,28,Positive,Retail,VP,Senior,Shared,2,Ineligible
250,93256,107346,45506,48794,Europe,Associate,5,2,Positive,Media,Junior,Junior,Cubicle,33,Ineligible
261,54699,58169,18425,16058,Europe,Analyst,2,0,Neutral,Retail,Junior,Junior,Cubicle,20,Ineligible
267,95140,108709,46945,54715,Europe,Associate,6,3,Neutral,Law,Junior,Junior,Cubicle,20,Ineligible
279,68724,65157,19899,21719,Europe,Analyst,2,0,Positive,Pharma,Junior,Junior,Cubicle,24,Ineligible
284,74222,71195,23922,18555,Europe,Analyst,3,0,Neutral,Tech,Junior,Junior,Cubicle,9,Ineligible
285,53098,55948,16852,17986,Europe,Analyst,2,0,Neutral,Pharma,Junior,Junior,Cubicle,20,Ineligible
301,74296,78286,20130,24181,Europe,Analyst,1,0,Positive,Pharma,Junior,Junior,Cubicle,2,Ineligible
310,1615949,1883267,4804904,5654615,Europe,MD,20,303,Positive,Real Estate,Executive,Senior,Corner,10,Ineligible
321,69985,75069,19488,22251,Europe,Analyst,2,0,Positive,Pharma,Junior,Junior,Cubicle,35,Ineligible
329,264543,305451,219494,247529,Europe,VP,14,32,Neutral,Pharma,VP,Senior,Shared,32,Ineligible
335,68037,74424,24085,20820,Europe,Analyst,2,0,Positive,Tech,Junior,Junior,Cubicle,37,Ineligible
356,91904,98243,48295,52312,Europe,Associate,5,3,Neutral,Retail,Junior,Junior,Cubicle,30,Ineligible
381,1853663,2186356,5597458,6512146,Europe,MD,26,352,Neutral,Media,Executive,Senior,Corner,28,Eligible
385,1785520,2181744,5359108,6484418,Europe,MD,16,344,Neutral,Pharma,Executive,Senior,Corner,24,Ineligible
391,53057,53606,19137,18677,Europe,Analyst,1,0,Neutral,Pharma,Junior,Junior,Cubicle,13,Ineligible
429,63596,66167,18346,20553,Europe,Analyst,3,0,Neutral,Tech,Junior,Junior,Cubicle,33,Ineligible
444,76880,75540,27684,20535,Europe,Analyst,2,0,Positive,Pharma,Junior,Junior,Cubicle,21,Ineligible
451,84075,87487,47003,39671,Europe,Associate,3,3,Neutral,Pharma,Junior,Junior,Cubicle,1,Ineligible
452,67370,72631,22228,22598,Europe,Analyst,2,0,Neutral,Retail,Junior,Junior,Cubicle,32,Ineligible
465,99568,111683,46122,61262,Europe,Associate,4,3,Positive,Pharma,Junior,Junior,Cubicle,40,Ineligible
472,93897,100311,48883,51103,Europe,Associate,4,3,Neutral,Media,Junior,Junior,Cubicle,26,Ineligible
473,74133,71952,23099,18126,Europe,Analyst,3,0,Positive,Tech,Junior,Junior,Cubicle,18,Ineligible
479,59337,61000,21927,18407,Europe,Analyst,2,0,Neutral,Tech,Junior,Junior,Cubicle,7,Ineligible
493,66836,72027,22192,24120,Europe,Analyst,3,0,Neutral,Retail,Junior,Junior,Cubicle,38,Ineligible
495,73322,83575,22695,21743,Europe,Analyst,2,0,Positive,Media,Junior,Junior,Cubicle,40,Ineligible
496,1821045,2379217,5524722,7097342,Europe,MD,23,347,Neutral,Media,Executive,Senior,Corner,27,Eligible
512,53454,61483,14779,19301,Europe,Analyst,1,0,Neutral,Retail,Junior,Junior,Cubicle,45,Ineligible
521,1793095,2201755,5351832,6650969,Europe,MD,14,345,Positive,Media,Executive,Senior,Corner,43,Ineligible
533,64642,66121,16427,22178,Europe,Analyst,2,0,Neutral,Pharma,Junior,Junior,Cubicle,37,Ineligible
537,271212,310982,228440,250623,Europe,VP,11,32,Positive,Media,VP,Senior,Shared,38,Ineligible
541,102047,107240,50241,61899,Europe,Associate,6,4,Neutral,Tech,Junior,Junior,Cubicle,4,Ineligible
546,65971,77405,17962,24230,Europe,Analyst,2,0,Neutral,Real Estate,Junior,Junior,Cubicle,5,Ineligible
547,71019,73921,21844,20524,Europe,Analyst,1,0,Positive,Real Estate,Junior,Junior,Cubicle,14,Ineligible
558,75133,76967,25717,24006,Europe,Analyst,2,0,Positive,Real Estate,Junior,Junior,Cubicle,40,Ineligible
574,77465,82430,22778,23240,Europe,Analyst,3,0,Positive,Pharma,Junior,Junior,Cubicle,36,Ineligible
607,60968,66895,18594,21855,Europe,Analyst,2,0,Neutral,Pharma,Junior,Junior,Cubicle,8,Ineligible
615,57203,61212,21384,18137,Europe,Analyst,2,0,Neutral,Retail,Junior,Junior,Cubicle,29,Ineligible
631,54871,57864,12377,17525,Europe,Analyst,2,0,Neutral,Tech,Junior,Junior,Cubicle,24,Ineligible
634,90192,97023,44482,46805,Europe,Associate,5,3,Neutral,Media,Junior,Junior,Cubicle,3,Ineligible
675,62198,59330,17899,19687,Europe,Analyst,2,0,Neutral,Retail,Junior,Junior,Cubicle,20,Ineligible
679,74266,82709,18161,24903,Europe,Analyst,2,0,Positive,Pharma,Junior,Junior,Cubicle,27,Ineligible
680,52922,57668,17776,15395,Europe,Analyst,1,0,Neutral,Real Estate,Junior,Junior,Cubicle,31,Ineligible
686,258632,300180,199370,248544,Europe,VP,13,29,Positive,Retail,VP,Senior,Shared,42,Ineligible
701,64752,67809,17631,21948,Europe,Analyst,2,0,Neutral,Pharma,Junior,Junior,Cubicle,45,Ineligible
704,55847,58216,17379,19868,Europe,Analyst,1,0,Neutral,Tech,Junior,Junior,Cubicle,20,Ineligible
705,66373,72136,17888,20767,Europe,Analyst,3,0,Neutral,Pharma,Junior,Junior,Cubicle,19,Ineligible
722,78507,76493,23582,20824,Europe,Analyst,3,0,Positive,Real Estate,Junior,Junior,Cubicle,36,Ineligible
724,277709,297393,235522,241505,Europe,VP,13,32,Positive,Tech,VP,Senior,Shared,5,Ineligible
730,97151,101938,50100,54396,Europe,Associate,6,2,Neutral,Tech,Junior,Junior,Cubicle,31,Ineligible
731,69360,69855,22291,23358,Europe,Analyst,1,0,Positive,Media,Junior,Junior,Cubicle,20,Ineligible
738,91027,105441,43122,46782,Europe,Associate,4,3,Neutral,Real Estate,Junior,Junior,Cubicle,46,Ineligible
748,76344,86314,24577,20126,Europe,Analyst,2,0,Positive,Retail,Junior,Junior,Cubicle,28,Ineligible
756,97822,111693,52076,53367,Europe,Associate,5,3,Positive,Retail,Junior,Junior,Cubicle,17,Ineligible
761,70399,75665,14263,19033,Europe,Analyst,1,0,Positive,Retail,Junior,Junior,Cubicle,3,Ineligible
764,53285,60441,17583,16891,Europe,Analyst,2,0,Negative,Retail,Junior,Junior,Cubicle,30,Ineligible
773,75874,79085,25410,21816,Europe,Analyst,2,0,Positive,Retail,Junior,Junior,Cubicle,17,Ineligible
799,56398,57495,17298,17935,Europe,Analyst,2,0,Neutral,Tech,Junior,Junior,Cubicle,12,Ineligible
800,93255,98875,45751,48364,Europe,Associate,4,4,Negative,Pharma,Junior,Junior,Cubicle,20,Ineligible
804,77227,80521,24881,26097,Europe,Analyst,2,0,Positive,Tech,Junior,Junior,Cubicle,37,Ineligible
809,274947,282717,216854,226482,Europe,VP,12,32,Positive,Real Estate,VP,Senior,Shared,28,Ineligible
811,74074,73803,23882,22044,Europe,Analyst,2,0,Positive,Pharma,Junior,Junior,Cubicle,7,Ineligible
818,65876,70557,18355,22241,Europe,Analyst,2,0,Neutral,Real Estate,Junior,Junior,Cubicle,21,Ineligible
822,229904,265362,189645,219565,Europe,VP,8,28,Neutral,Real Estate,VP,Senior,Shared,4,Ineligible
827,93370,102735,47490,57766,Europe,Associate,6,2,Neutral,Pharma,Junior,Junior,Cubicle,15,Ineligible
840,85717,89206,42775,45875,Europe,Associate,6,2,Neutral,Tech,Junior,Junior,Cubicle,24,Ineligible
844,1990765,2612110,5944184,7831172,Europe,MD,27,377,Positive,Tech,Executive,Senior,Corner,18,Eligible
858,97941,96919,47672,45700,Europe,Associate,5,2,Positive,Tech,Junior,Junior,Cubicle,10,Ineligible
876,242721,282311,197236,239977,Europe,VP,11,29,Neutral,Tech,VP,Senior,Shared,21,Ineligible
879,106511,111161,50449,53138,Europe,Associate,6,4,Positive,Retail,Junior,Junior,Cubicle,39,Ineligible
892,69593,63042,21233,18360,Europe,Analyst,2,0,Positive,Retail,Junior,Junior,Cubicle,38,Ineligible
902,64105,65784,17868,19095,Europe,Analyst,2,0,Neutral,Tech,Junior,Junior,Cubicle,24,Ineligible
922,63119,68033,16763,23627,Europe,Analyst,2,0,Neutral,Tech,Junior,Junior,Cubicle,31,Ineligible
928,73608,77993,20429,22396,Europe,Analyst,2,0,Positive,Tech,Junior,Junior,Cubicle,11,Ineligible
934,83385,84948,20132,25051,Europe,Analyst,3,0,Positive,Tech,Junior,Junior,Cubicle,44,Ineligible
937,70519,70714,20115,21294,Europe,Analyst,1,0,Positive,Media,Junior,Junior,Cubicle,14,Ineligible
971,71188,80565,23481,23485,Europe,Analyst,2,0,Positive,Pharma,Junior,Junior,Cubicle,24,Ineligible
975,73371,71697,22017,23516,Europe,Analyst,3,0,Positive,Real Estate,Junior,Junior,Cubicle,13,Ineligible
978,87254,89937,45309,46977,Europe,Associate,6,3,Neutral,Pharma,Junior,Junior,Cubicle,14,Ineligible
992,1760899,2216196,5237442,6507771,Europe,MD,19,338,Neutral,Tech,Executive,Senior,Corner,20,Ineligible
1002,276907,306727,216188,249371,Europe,VP,15,31,Positive,Real Estate,VP,Senior,Shared,36,Ineligible
1004,277635,300852,220161,244412,Europe,VP,14,32,Positive,Law,VP,Senior,Shared,18,Ineligible
1054,1873763,2469205,5556806,7491101,Europe,MD,19,362,Negative,Real Estate,Executive,Senior,Corner,22,Ineligible
1057,75849,81126,29560,22538,Europe,Analyst,2,0,Positive,Media,Junior,Junior,Cubicle,14,Ineligible
1079,230729,248466,185742,199504,Europe,VP,9,28,Neutral,Tech,VP,Senior,Shared,23,Ineligible
1085,62772,67319,21732,17533,Europe,Analyst,2,0,Neutral,Law,Junior,Junior,Cubicle,28,Ineligible
1086,60948,63533,18066,20386,Europe,Analyst,2,0,Neutral,Media,Junior,Junior,Cubicle,32,Ineligible
1098,73562,76578,22626,19961,Europe,Analyst,2,0,Positive,Pharma,Junior,Junior,Cubicle,39,Ineligible
1115,1703648,2154403,5034775,6446119,Europe,MD,19,323,Neutral,Tech,Executive,Senior,Corner,47,Ineligible
1122,248187,278771,198039,210323,Europe,VP,12,26,Positive,Pharma,VP,Senior,Shared,40,Ineligible
1134,54536,57206,16872,17529,Europe,Analyst,3,0,Negative,Media,Junior,Junior,Cubicle,45,Ineligible
1142,62946,63009,19825,18814,Europe,Analyst,2,0,Neutral,Real Estate,Junior,Junior,Cubicle,47,Ineligible
1178,75478,84052,23549,26713,Europe,Analyst,2,0,Positive,Pharma,Junior,Junior,Cubicle,13,Ineligible
1182,62113,68187,15582,18960,Europe,Analyst,2,0,Neutral,Tech,Junior,Junior,Cubicle,3,Ineligible
1183,246047,255779,194525,202661,Europe,VP,13,29,Neutral,Pharma,VP,Senior,Shared,33,Ineligible
1187,116647,128606,59062,67657,Europe,Associate,7,4,Positive,Media,Junior,Junior,Cubicle,24,Ineligible
1188,96836,106822,50197,49968,Europe,Associate,4,2,Positive,Real Estate,Junior,Junior,Cubicle,24,Ineligible
1189,76499,79665,27517,25538,Europe,Analyst,1,0,Positive,Tech,Junior,Junior,Cubicle,9,Ineligible
1191,76165,82135,22675,28526,Europe,Analyst,2,0,Positive,Pharma,Junior,Junior,Cubicle,47,Ineligible
1199,65953,72765,24166,22588,Europe,Analyst,3,0,Neutral,Real Estate,Junior,Junior,Cubicle,11,Ineligible
1227,84517,89751,39109,42015,Europe,Associate,5,3,Neutral,Media,Junior,Junior,Cubicle,33,Ineligible
1249,1919981,2414827,5832426,7336047,Europe,MD,23,370,Negative,Pharma,Executive,Senior,Corner,8,Eligible
1253,255933,276043,205036,223704,Europe,VP,11,29,Positive,Real Estate,VP,Senior,Shared,40,Ineligible
1256,56821,63633,14747,13188,Europe,Analyst,2,0,Neutral,Media,Junior,Junior,Cubicle,5,Ineligible
1259,62680,68375,20000,21168,Europe,Analyst,2,0,Neutral,Media,Junior,Junior,Cubicle,35,Ineligible
1263,76707,79517,22106,22908,Europe,Analyst,3,0,Positive,Tech,Junior,Junior,Cubicle,28,Ineligible
1265,71334,71597,20826,22286,Europe,Analyst,2,0,Positive,Tech,Junior,Junior,Cubicle,44,Ineligible
1276,62397,67109,18626,19095,Europe,Analyst,2,0,Neutral,Retail,Junior,Junior,Cubicle,1,Ineligible
1279,52596,47267,13487,13600,Europe,Analyst,2,0,Neutral,Pharma,Junior,Junior,Cubicle,10,Ineligible
1280,98602,105608,48602,51590,Europe,Associate,7,4,Neutral,Media,Junior,Junior,Cubicle,21,Ineligible
1281,47750,54747,15649,19264,Europe,Analyst,2,0,Negative,Retail,Junior,Junior,Cubicle,30,Ineligible
1309,80162,85301,27422,24503,Europe,Analyst,3,0,Positive,Tech,Junior,Junior,Cubicle,42,Ineligible
1320,108531,109484,52880,51067,Europe,Associate,8,4,Neutral,Retail,Junior,Junior,Cubicle,38,Ineligible
1322,72409,82849,21886,29153,Europe,Analyst,2,0,Positive,Law,Junior,Junior,Cubicle,44,Ineligible
1336,94837,101711,48004,54655,Europe,Associate,5,3,Neutral,Pharma,Junior,Junior,Cubicle,13,Ineligible
1344,78773,86460,20329,30853,Europe,Analyst,2,0,Positive,Pharma,Junior,Junior,Cubicle,23,Ineligible
1362,294085,320390,240596,256706,Europe,VP,17,33,Positive,Retail,VP,Senior,Shared,18,Ineligible
1371,63826,70488,19891,20140,Europe,Analyst,3,0,Neutral,Real Estate,Junior,Junior,Cubicle,32,Ineligible
1389,111791,125167,58039,58456,Europe,Associate,5,5,Positive,Tech,Junior,Junior,Cubicle,30,Ineligible
1393,57447,62039,15693,19474,Europe,Analyst,2,0,Neutral,Law,Junior,Junior,Cubicle,7,Ineligible
1397,257849,266898,205979,218824,Europe,VP,10,33,Neutral,Media,VP,Senior,Shared,37,Ineligible
1416,70489,71299,23871,20489,Europe,Analyst,2,0,Positive,Media,Junior,Junior,Cubicle,34,Ineligible
1445,62749,62758,17172,16587,Europe,Analyst,3,0,Neutral,Pharma,Junior,Junior,Cubicle,31,Ineligible
1446,66479,68538,23101,20026,Europe,Analyst,3,0,Neutral,Pharma,Junior,Junior,Cubicle,16,Ineligible
1471,54853,57803,16228,17507,Europe,Analyst,2,0,Negative,Retail,Junior,Junior,Cubicle,26,Ineligible
1477,1875179,2384843,5498904,7074616,Europe,MD,15,364,Neutral,Media,Executive,Senior,Corner,2,Ineligible
1478,83938,86027,29666,27811,Europe,Analyst,3,0,Positive,Pharma,Junior,Junior,Cubicle,20,Ineligible
1516,125237,130388,64016,61328,Europe,Associate,6,6,Positive,Pharma,Junior,Junior,Cubicle,23,Ineligible
1534,61037,65202,19265,20362,Europe,Analyst,2,0,Neutral,Tech,Junior,Junior,Cubicle,35,Ineligible
1570,260383,312841,194626,259240,Europe,VP,12,30,Positive,Pharma,VP,Senior,Shared,24,Ineligible
1574,51371,55713,13140,15864,Europe,Analyst,1,0,Neutral,Pharma,Junior,Junior,Cubicle,47,Ineligible
1578,76409,77370,23642,23942,Europe,Analyst,2,0,Positive,Real Estate,Junior,Junior,Cubicle,45,Ineligible
1586,61315,64802,18745,22332,Europe,Analyst,2,0,Neutral,Pharma,Junior,Junior,Cubicle,29,Ineligible
1610,112637,115827,61194,62441,Europe,Associate,7,2,Positive,Real Estate,Junior,Junior,Cubicle,8,Ineligible
1612,1794762,2082144,5551082,6249701,Europe,MD,23,338,Positive,Pharma,Executive,Senior,Corner,20,Eligible
1637,197204,218093,158834,185201,Europe,VP,5,24,Neutral,Law,VP,Senior,Shared,12,Ineligible
1638,103318,102614,53122,53313,Europe,Associate,5,3,Positive,Pharma,Junior,Junior,Cubicle,9,Ineligible
1641,1841952,2329377,5615091,6979123,Europe,MD,16,356,Neutral,Retail,Executive,Senior,Corner,38,Ineligible
1647,70001,69628,20348,22880,Europe,Analyst,2,0,Positive,Real Estate,Junior,Junior,Cubicle,29,Ineligible
1652,59639,64179,16775,19666,Europe,Analyst,2,0,Neutral,Real Estate,Junior,Junior,Cubicle,28,Ineligible
1655,60911,64404,17768,21186,Europe,Analyst,2,0,Neutral,Media,Junior,Junior,Cubicle,40,Ineligible
1660,60560,65991,20441,18933,Europe,Analyst,2,0,Neutral,Retail,Junior,Junior,Cubicle,20,Ineligible
1661,58245,64466,16328,21126,Europe,Analyst,2,0,Neutral,Real Estate,Junior,Junior,Cubicle,2,Ineligible
1674,60521,56322,17826,16731,Europe,Analyst,2,0,Neutral,Pharma,Junior,Junior,Cubicle,35,Ineligible
1704,91109,102077,46796,52620,Europe,Associate,6,3,Neutral,Real Estate,Junior,Junior,Cubicle,19,Ineligible
1730,107178,127587,56483,60648,Europe,Associate,5,2,Positive,Retail,Junior,Junior,Cubicle,40,Ineligible
1741,1702793,2006787,5123902,5997197,Europe,MD,30,317,Neutral,Real Estate,Executive,Senior,Corner,15,Eligible
1768,62419,64301,20226,16068,Europe,Analyst,3,0,Neutral,Retail,Junior,Junior,Cubicle,4,Ineligible
1773,266761,261477,221884,227699,Europe,VP,9,33,Positive,Pharma,VP,Senior,Shared,33,Ineligible
1785,45824,48404,14707,13603,Europe,Analyst,1,0,Neutral,Tech,Junior,Junior,Cubicle,4,Ineligible
1805,235750,261071,197029,210509,Europe,VP,14,27,Neutral,Retail,VP,Senior,Shared,38,Ineligible
1814,63960,68961,18820,22698,Europe,Analyst,2,0,Neutral,Media,Junior,Junior,Cubicle,5,Ineligible
1819,60083,61722,15169,16528,Europe,Analyst,2,0,Neutral,Retail,Junior,Junior,Cubicle,45,Ineligible
1824,58107,63924,19562,19927,Europe,Analyst,3,0,Neutral,Tech,Junior,Junior,Cubicle,20,Ineligible
1841,67966,70895,15490,21753,Europe,Analyst,2,0,Neutral,Pharma,Junior,Junior,Cubicle,16,Ineligible
1848,234821,266925,187269,199073,Europe,VP,10,30,Negative,Real Estate,VP,Senior,Shared,26,Ineligible
1859,61971,68720,16336,20144,Europe,Analyst,2,0,Neutral,Media,Junior,Junior,Cubicle,8,Ineligible
1861,75094,77855,22143,20547,Europe,Analyst,2,0,Positive,Media,Junior,Junior,Cubicle,25,Ineligible
1868,1810889,2234726,5536235,6667459,Europe,MD,21,343,Positive,Pharma,Executive,Senior,Corner,30,Eligible
1874,60241,64221,22151,16514,Europe,Analyst,2,0,Neutral,Tech,Junior,Junior,Cubicle,9,Ineligible
1887,67836,70673,19858,21641,Europe,Analyst,1,0,Positive,Pharma,Junior,Junior,Cubicle,2,Ineligible
1896,247061,288468,191613,225913,Europe,VP,16,27,Neutral,Pharma,VP,Senior,Shared,33,Ineligible
1903,49129,52537,17083,15931,Europe,Analyst,1,0,Negative,Pharma,Junior,Junior,Cubicle,40,Ineligible
1911,65866,72525,16092,21724,Europe,Analyst,3,0,Neutral,Pharma,Junior,Junior,Cubicle,29,Ineligible
1914,63388,66154,17770,19782,Europe,Analyst,3,0,Neutral,Retail,Junior,Junior,Cubicle,4,Ineligible
1917,77225,82767,36115,43564,Europe,Associate,4,2,Neutral,Media,Junior,Junior,Cubicle,30,Ineligible
1918,61754,65053,20855,24525,Europe,Analyst,2,0,Neutral,Media,Junior,Junior,Cubicle,11,Ineligible
1930,66822,73090,17828,21697,Europe,Analyst,1,0,Positive,Real Estate,Junior,Junior,Cubicle,10,Ineligible
1931,82312,87319,37573,47107,Europe,Associate,5,2,Negative,Pharma,Junior,Junior,Cubicle,32,Ineligible
1934,1487473,1990588,4472152,5964950,Europe,MD,27,273,Neutral,Pharma,Executive,Senior,Corner,23,Eligible
1948,299778,324824,244154,259671,Europe,VP,20,32,Positive,Real Estate,VP,Senior,Shared,33,Ineligible
1974,58131,65705,15792,16492,Europe,Analyst,2,0,Neutral,Law,Junior,Junior,Cubicle,14,Ineligible
1994,85188,84546,41591,40266,Europe,Associate,5,2,Neutral,Law,Junior,Junior,Cubicle,21,Ineligible
2001,71096,74927,19004,17279,Europe,Analyst,2,0,Positive,Retail,Junior,Junior,Cubicle,37,Ineligible
2010,78398,78732,25328,21486,Europe,Analyst,2,0,Positive,Retail,Junior,Junior,Cubicle,37,Ineligible
2012,64097,69913,18538,21226,Europe,Analyst,3,0,Neutral,Tech,Junior,Junior,Cubicle,35,Ineligible
2024,72749,69408,22762,22160,Europe,Analyst,2,0,Positive,Media,Junior,Junior,Cubicle,21,Ineligible
2027,76233,75062,38643,33356,Europe,Associate,6,1,Negative,Tech,Junior,Junior,Cubicle,41,Ineligible
2030,62592,71525,17584,22064,Europe,Analyst,2,0,Positive,Media,Junior,Junior,Cubicle,14,Ineligible
2034,59254,64989,19540,18824,Europe,Analyst,2,0,Neutral,Tech,Junior,Junior,Cubicle,28,Ineligible
2037,70577,77854,19001,26028,Europe,Analyst,2,0,Positive,Real Estate,Junior,Junior,Cubicle,38,Ineligible
2045,1836176,2315891,5481637,6882560,Europe,MD,18,354,Neutral,Pharma,Executive,Senior,Corner,24,Ineligible
2053,61133,64799,21465,14766,Europe,Analyst,2,0,Neutral,Real Estate,Junior,Junior,Cubicle,37,Ineligible
2062,1842694,2411637,5494015,7248709,Europe,MD,27,349,Neutral,Pharma,Executive,Senior,Corner,13,Eligible
2067,94218,113618,46096,59627,Europe,Associate,5,3,Neutral,Retail,Junior,Junior,Cubicle,34,Ineligible
2099,81847,84710,24119,32710,Europe,Analyst,3,0,Positive,Tech,Junior,Junior,Cubicle,10,Ineligible
2125,73174,76109,25223,21080,Europe,Analyst,3,0,Positive,Tech,Junior,Junior,Cubicle,10,Ineligible
2128,77378,79953,22222,22924,Europe,Analyst,2,0,Positive,Tech,Junior,Junior,Cubicle,13,Ineligible
2129,73745,74843,19179,23564,Europe,Analyst,2,0,Positive,Real Estate,Junior,Junior,Cubicle,25,Ineligible
2142,265799,287462,223721,230867,Europe,VP,11,33,Neutral,Tech,VP,Senior,Shared,11,Ineligible
2144,212850,231985,172578,196064,Europe,VP,7,26,Neutral,Retail,VP,Senior,Shared,24,Ineligible
2150,113086,126570,59040,67338,Europe,Associate,7,4,Positive,Pharma,Junior,Junior,Cubicle,28,Ineligible
2153,72920,77756,22181,18273,Europe,Analyst,3,0,Positive,Real Estate,Junior,Junior,Cubicle,16,Ineligible
2156,54995,53982,17229,16589,Europe,Analyst,2,0,Neutral,Pharma,Junior,Junior,Cubicle,40,Ineligible
