ID,SalaryPY,SalaryCY,BonusPY,BonusCY,Region,Title,Years,Reports,Review,Sector,Level,Career,Office,Floor,Retirement
8,273987,295516,232088,231246,North America,VP,14,28,Positive,Pharma,VP,Senior,Shared,30,Ineligible
12,117297,115382,64050,58035,North America,Associate,4,4,Positive,Media,Junior,Junior,Cubicle,40,Ineligible
15,86987,94433,25673,25680,North America,Analyst,2,0,Positive,Pharma,Junior,Junior,Cubicle,22,Ineligible
22,84033,85425,23840,25881,North America,Analyst,2,0,Positive,Retail,Junior,Junior,Cubicle,15,Ineligible
25,241309,270387,189089,209852,North America,VP,8,28,Neutral,Real Estate,VP,Senior,Shared,15,Ineligible
29,75271,76222,17848,24245,North America,Analyst,2,0,Neutral,Pharma,Junior,Junior,Cubicle,23,Ineligible
32,107133,113296,52226,58276,North America,Associate,5,3,Neutral,Media,Junior,Junior,Cubicle,11,Ineligible
37,266954,315796,215833,246201,North America,VP,15,28,Neutral,Real Estate,VP,Senior,Shared,21,Ineligible
38,263081,294833,207856,216917,North America,VP,8,33,Neutral,Real Estate,VP,Senior,Shared,47,Ineligible
43,95316,99707,31494,30348,North America,Analyst,3,0,Positive,Tech,Junior,Junior,Cubicle,10,Ineligible
47,71503,74630,24724,24013,North America,Analyst,2,0,Neutral,Tech,Junior,Junior,Cubicle,24,Ineligible
48,265938,300695,218836,249785,North America,VP,11,31,Neutral,Real Estate,VP,Senior,Shared,3,Ineligible
51,279066,315952,230188,247599,North America,VP,15,32,Neutral,Media,VP,Senior,Shared,39,Ineligible
53,84958,97172,22740,25548,North America,Analyst,3,0,Positive,Pharma,Junior,Junior,Cubicle,46,Ineligible
64,82789,84530,24276,29052,North America,Analyst,2,0,Positive,Pharma,Junior,Junior,Cubicle,25,Ineligible
67,287568,335013,232392,271886,North America,VP,14,31,Neutral,Retail,VP,Senior,Shared,10,Ineligible
68,121055,138899,66387,70290,North America,Associate,5,4,Positive,Real Estate,Junior,Junior,Cubicle,43,Ineligible
69,101121,110561,45318,54878,North America,Associate,5,2,Neutral,Pharma,Junior,Junior,Cubicle,28,Ineligible
74,89948,95817,27656,27927,North America,Analyst,3,0,Positive,Tech,Junior,Junior,Cubicle,23,Ineligible
78,74718,82837,23057,25598,North America,Analyst,1,0,Positive,Media,Junior,Junior,Cubicle,1,Ineligible
80,84591,88122,23172,21876,North America,Analyst,2,0,Positive,Retail,Junior,Junior,Cubicle,42,Ineligible
86,1767628,2234008,5242828,6549393,North America,MD,17,334,Positive,Pharma,Executive,Senior,Corner,32,Ineligible
87,113210,122549,57774,57102,North America,Associate,5,3,Positive,Media,Junior,Junior,Cubicle,42,Ineligible
91,77956,96103,22367,33127,North America,Analyst,2,0,Neutral,Retail,Junior,Junior,Cubicle,1,Ineligible
