ID,SalaryPY,SalaryCY,BonusPY,BonusCY,Region,Title,Years,Reports,Review,Sector,Level,Career,Office,Floor,Retirement
2,117283,126186,52955,56652,Switzerland,Associate,4,3,Positive,Real Estate,Junior,Junior,Cubicle,15,Ineligible
7,255968,282762,204600,219524,Switzerland,VP,12,26,Neutral,Tech,VP,Senior,Shared,27,Ineligible
26,95904,92178,26513,31402,Switzerland,Analyst,2,0,Positive,Media,Junior,Junior,Cubicle,6,Ineligible
27,137757,136565,65202,69420,Switzerland,Associate,8,4,Positive,Pharma,Junior,Junior,Cubicle,30,Ineligible
28,92326,92990,23782,27649,Switzerland,Analyst,2,0,Positive,Pharma,Junior,Junior,Cubicle,14,Ineligible
33,92256,94758,30090,29164,Switzerland,Analyst,2,0,Positive,Tech,Junior,Junior,Cubicle,35,Ineligible
36,119171,118352,55875,59214,Switzerland,Associate,5,4,Positive,Pharma,Junior,Junior,Cubicle,14,Ineligible
40,84104,89107,27776,29457,Switzerland,Analyst,3,0,Neutral,Pharma,Junior,Junior,Cubicle,13,Ineligible
54,116356,132990,55239,61900,Switzerland,Associate,3,3,Positive,Tech,Junior,Junior,Cubicle,41,Ineligible
56,284048,327951,212831,280187,Switzerland,VP,11,30,Positive,Pharma,VP,Senior,Shared,36,Ineligible
57,86187,82033,21851,23430,Switzerland,Analyst,2,0,Positive,Retail,Junior,Junior,Cubicle,26,Ineligible
58,1655675,2151049,4960553,6314288,Switzerland,MD,21,306,Positive,Pharma,Executive,Senior,Corner,34,Eligible
77,78345,81522,22137,29586,Switzerland,Analyst,2,0,Neutral,Media,Junior,Junior,Cubicle,26,Ineligible
79,81055,85218,25069,24138,Switzerland,Analyst,1,0,Neutral,Law,Junior,Junior,Cubicle,24,Ineligible
81,134616,145542,72007,75525,Switzerland,Associate,6,5,Positive,Real Estate,Junior,Junior,Cubicle,5,Ineligible
84,287160,328350,228876,265231,Switzerland,VP,8,35,Positive,Real Estate,VP,Senior,Shared,12,Ineligible
85,104687,120215,51460,59864,Switzerland,Associate,5,3,Neutral,Pharma,Junior,Junior,Cubicle,11,Ineligible
88,81729,80431,29024,24766,Switzerland,Analyst,3,0,Neutral,Retail,Junior,Junior,Cubicle,6,Ineligible
94,1766088,2178148,5229483,6554322,Switzerland,MD,15,337,Neutral,Pharma,Executive,Senior,Corner,7,Ineligible
100,74414,77803,21064,28519,Switzerland,Analyst,3,0,Neutral,Media,Junior,Junior,Cubicle,28,Ineligible
101,90830,89615,30176,31191,Switzerland,Analyst,2,0,Positive,Law,Junior,Junior,Cubicle,23,Ineligible
104,79252,83372,29034,26852,Switzerland,Analyst,3,0,Neutral,Real Estate,Junior,Junior,Cubicle,28,Ineligible
118,1725720,2163714,5101414,6450558,Switzerland,MD,21,325,Neutral,Tech,Executive,Senior,Corner,35,Eligible
123,78257,81553,25495,23942,Switzerland,Analyst,2,0,Neutral,Pharma,Junior,Junior,Cubicle,39,Ineligible
128,92477,104318,26646,30743,Switzerland,Analyst,3,0,Positive,Tech,Junior,Junior,Cubicle,20,Ineligible
131,95190,103977,26169,31123,Switzerland,Analyst,2,0,Positive,Media,Junior,Junior,Cubicle,22,Ineligible
147,105576,104791,55208,54734,Switzerland,Associate,3,4,Neutral,Pharma,Junior,Junior,Cubicle,25,Ineligible
155,76691,80426,20051,27115,Switzerland,Analyst,2,0,Neutral,Media,Junior,Junior,Cubicle,47,Ineligible
156,80537,80784,17481,25414,Switzerland,Analyst,2,0,Neutral,Pharma,Junior,Junior,Cubicle,45,Ineligible
158,76328,77422,27007,24540,Switzerland,Analyst,2,0,Neutral,Pharma,Junior,Junior,Cubicle,7,Ineligible
162,95346,96238,27621,23808,Switzerland,Analyst,3,0,Positive,Pharma,Junior,Junior,Cubicle,24,Ineligible
164,75663,81780,23731,27655,Switzerland,Analyst,2,0,Neutral,Retail,Junior,Junior,Cubicle,12,Ineligible
169,132313,139658,66274,71342,Switzerland,Associate,6,3,Positive,Tech,Junior,Junior,Cubicle,13,Ineligible
170,90625,94774,22356,34395,Switzerland,Analyst,3,0,Positive,Pharma,Junior,Junior,Cubicle,2,Ineligible
176,81694,90604,26693,26571,Switzerland,Analyst,2,0,Neutral,Pharma,Junior,Junior,Cubicle,18,Ineligible
178,89205,99853,25737,31560,Switzerland,Analyst,2,0,Positive,Real Estate,Junior,Junior,Cubicle,37,Ineligible
183,88663,96244,25815,28221,Switzerland,Analyst,2,0,Positive,Tech,Junior,Junior,Cubicle,2,Ineligible
188,1912975,2424230,5771192,7226308,Switzerland,MD,17,367,Neutral,Pharma,Executive,Senior,Corner,9,Ineligible
191,82622,92194,20160,30004,Switzerland,Analyst,2,0,Neutral,Media,Junior,Junior,Cubicle,41,Ineligible
196,87660,87247,28527,24060,Switzerland,Analyst,2,0,Positive,Pharma,Junior,Junior,Cubicle,6,Ineligible
197,94046,92637,28727,24077,Switzerland,Analyst,3,0,Positive,Real Estate,Junior,Junior,Cubicle,23,Ineligible
203,113710,123915,60339,66910,Switzerland,Associate,4,2,Positive,Real Estate,Junior,Junior,Cubicle,44,Ineligible
204,91415,101474,25231,28781,Switzerland,Analyst,2,0,Positive,Tech,Junior,Junior,Cubicle,3,Ineligible
207,68827,70778,19229,25749,Switzerland,Analyst,2,0,Negative,Pharma,Junior,Junior,Cubicle,8,Ineligible
209,244268,269118,196644,190822,Switzerland,VP,9,25,Neutral,Retail,VP,Senior,Shared,5,Ineligible
221,81561,84544,27657,23524,Switzerland,Analyst,2,0,Neutral,Real Estate,Junior,Junior,Cubicle,7,Ineligible
224,90733,95278,26957,26924,Switzerland,Analyst,2,0,Positive,Tech,Junior,Junior,Cubicle,13,Ineligible
225,79031,85888,25546,25489,Switzerland,Analyst,3,0,Neutral,Retail,Junior,Junior,Cubicle,12,Ineligible
238,87348,96759,26082,32030,Switzerland,Analyst,1,0,Positive,Media,Junior,Junior,Cubicle,28,Ineligible
243,78272,76573,18833,23327,Switzerland,Analyst,1,0,Neutral,Tech,Junior,Junior,Cubicle,38,Ineligible
245,139130,156039,62568,78777,Switzerland,Associate,5,4,Positive,Tech,Junior,Junior,Cubicle,36,Ineligible
248,1707345,2166071,5110998,6443886,Switzerland,MD,23,318,Neutral,Real Estate,Executive,Senior,Corner,22,Eligible
253,79583,84833,24880,27767,Switzerland,Analyst,2,0,Neutral,Retail,Junior,Junior,Cubicle,8,Ineligible
262,256446,281368,209108,234145,Switzerland,VP,9,26,Positive,Law,VP,Senior,Shared,35,Ineligible
264,85002,93357,21953,31178,Switzerland,Analyst,3,0,Neutral,Pharma,Junior,Junior,Cubicle,42,Ineligible
265,253133,274251,210551,236268,Switzerland,VP,13,26,Neutral,Real Estate,VP,Senior,Shared,45,Ineligible
266,90809,95906,25965,33152,Switzerland,Analyst,2,0,Positive,Media,Junior,Junior,Cubicle,1,Ineligible
272,77648,82857,24012,24355,Switzerland,Analyst,2,0,Neutral,Real Estate,Junior,Junior,Cubicle,39,Ineligible
273,261411,301579,221409,242189,Switzerland,VP,10,30,Neutral,Pharma,VP,Senior,Shared,9,Ineligible
274,89977,96915,31833,26972,Switzerland,Analyst,1,0,Positive,Real Estate,Junior,Junior,Cubicle,25,Ineligible
297,110232,121776,60899,54984,Switzerland,Associate,6,3,Negative,Real Estate,Junior,Junior,Cubicle,43,Ineligible
298,77790,76104,19944,23732,Switzerland,Analyst,2,0,Neutral,Real Estate,Junior,Junior,Cubicle,15,Ineligible
300,82681,80685,26419,25510,Switzerland,Analyst,3,0,Neutral,Real Estate,Junior,Junior,Cubicle,7,Ineligible
307,112565,116885,49205,63212,Switzerland,Associate,5,4,Neutral,Media,Junior,Junior,Cubicle,33,Ineligible
309,1741403,2187652,5148542,6542801,Switzerland,MD,14,329,Positive,Tech,Executive,Senior,Corner,16,Ineligible
314,74979,82724,22713,23903,Switzerland,Analyst,2,0,Negative,Pharma,Junior,Junior,Cubicle,30,Ineligible
322,82683,83994,27052,26423,Switzerland,Analyst,3,0,Neutral,Pharma,Junior,Junior,Cubicle,23,Ineligible
326,94119,96131,48470,53617,Switzerland,Associate,5,0,Neutral,Media,Junior,Junior,Cubicle,26,Ineligible
338,104636,107257,54386,50089,Switzerland,Associate,5,2,Neutral,Tech,Junior,Junior,Cubicle,34,Ineligible
348,79133,82972,22984,26114,Switzerland,Analyst,2,0,Neutral,Law,Junior,Junior,Cubicle,22,Ineligible
353,95159,112000,27264,35307,Switzerland,Analyst,3,0,Positive,Real Estate,Junior,Junior,Cubicle,24,Ineligible
358,108433,121367,51067,62478,Switzerland,Associate,5,2,Neutral,Media,Junior,Junior,Cubicle,36,Ineligible
359,80573,78550,23743,21828,Switzerland,Analyst,2,0,Neutral,Tech,Junior,Junior,Cubicle,21,Ineligible
361,79719,83706,23068,27768,Switzerland,Analyst,3,0,Neutral,Retail,Junior,Junior,Cubicle,14,Ineligible
365,1668099,1968873,5027594,5926584,Switzerland,MD,17,314,Neutral,Retail,Executive,Senior,Corner,36,Ineligible
373,78362,89398,24535,30090,Switzerland,Analyst,2,0,Neutral,Real Estate,Junior,Junior,Cubicle,7,Ineligible
377,87470,89210,23093,25802,Switzerland,Analyst,1,0,Positive,Law,Junior,Junior,Cubicle,38,Ineligible
392,253678,270935,199327,209642,Switzerland,VP,12,27,Neutral,Real Estate,VP,Senior,Shared,11,Ineligible
393,285323,327426,224262,255657,Switzerland,VP,12,33,Neutral,Retail,VP,Senior,Shared,10,Ineligible
400,76620,83812,22629,26190,Switzerland,Analyst,2,0,Neutral,Pharma,Junior,Junior,Cubicle,35,Ineligible
407,268222,314523,205223,250693,Switzerland,VP,10,28,Positive,Pharma,VP,Senior,Shared,15,Ineligible
421,75778,77277,25438,24080,Switzerland,Analyst,1,0,Neutral,Media,Junior,Junior,Cubicle,38,Ineligible
462,256865,290991,204578,248545,Switzerland,VP,13,26,Neutral,Tech,VP,Senior,Shared,25,Ineligible
469,92185,90874,31158,26219,Switzerland,Analyst,2,0,Positive,Retail,Junior,Junior,Cubicle,44,Ineligible
474,78940,80117,29073,26564,Switzerland,Analyst,2,0,Neutral,Pharma,Junior,Junior,Cubicle,44,Ineligible
475,80420,89672,20326,28241,Switzerland,Analyst,2,0,Neutral,Retail,Junior,Junior,Cubicle,3,Ineligible
480,92193,95812,20661,37164,Switzerland,Analyst,2,0,Positive,Pharma,Junior,Junior,Cubicle,44,Ineligible
482,87843,87458,24301,22253,Switzerland,Analyst,1,0,Positive,Law,Junior,Junior,Cubicle,29,Ineligible
494,1571007,2225079,4711363,6795598,Switzerland,MD,19,291,Positive,Tech,Executive,Senior,Corner,30,Ineligible
502,119758,135694,62251,75234,Switzerland,Associate,5,4,Neutral,Real Estate,Junior,Junior,Cubicle,44,Ineligible
503,96941,101640,50691,47566,Switzerland,Associate,4,2,Neutral,Tech,Junior,Junior,Cubicle,1,Ineligible
506,291307,306891,234460,237226,Switzerland,VP,11,32,Positive,Law,VP,Senior,Shared,27,Ineligible
519,85188,93108,28929,31992,Switzerland,Analyst,2,0,Positive,Pharma,Junior,Junior,Cubicle,1,Ineligible
520,71595,76419,24238,22019,Switzerland,Analyst,2,0,Neutral,Pharma,Junior,Junior,Cubicle,15,Ineligible
523,253113,287075,187653,223684,Switzerland,VP,13,26,Neutral,Pharma,VP,Senior,Shared,33,Ineligible
527,83715,83797,25054,28245,Switzerland,Analyst,2,0,Neutral,Retail,Junior,Junior,Cubicle,20,Ineligible
529,81083,87433,25043,26989,Switzerland,Analyst,2,0,Neutral,Retail,Junior,Junior,Cubicle,3,Ineligible
531,98784,96058,31788,30227,Switzerland,Analyst,3,0,Positive,Tech,Junior,Junior,Cubicle,31,Ineligible
534,76579,77435,20184,23960,Switzerland,Analyst,2,0,Neutral,Law,Junior,Junior,Cubicle,36,Ineligible
535,87395,91327,29759,26094,Switzerland,Analyst,2,0,Positive,Real Estate,Junior,Junior,Cubicle,7,Ineligible
538,78286,86228,26950,28779,Switzerland,Analyst,2,0,Neutral,Pharma,Junior,Junior,Cubicle,42,Ineligible
539,78091,79666,25651,23219,Switzerland,Analyst,2,0,Neutral,Pharma,Junior,Junior,Cubicle,2,Ineligible
544,108619,110107,56732,55729,Switzerland,Associate,5,4,Negative,Tech,Junior,Junior,Cubicle,36,Ineligible
545,109424,119244,50145,57309,Switzerland,Associate,5,2,Neutral,Pharma,Junior,Junior,Cubicle,38,Ineligible
549,76851,77063,29181,20892,Switzerland,Analyst,2,0,Neutral,Retail,Junior,Junior,Cubicle,10,Ineligible
551,74988,84167,23018,21507,Switzerland,Analyst,2,0,Neutral,Media,Junior,Junior,Cubicle,20,Ineligible
552,73021,72989,21816,19573,Switzerland,Analyst,2,0,Neutral,Pharma,Junior,Junior,Cubicle,39,Ineligible
553,85219,94693,28281,32401,Switzerland,Analyst,2,0,Neutral,Media,Junior,Junior,Cubicle,5,Ineligible
555,118400,124517,58896,59227,Switzerland,Associate,4,3,Positive,Media,Junior,Junior,Cubicle,20,Ineligible
559,92696,90966,30080,29100,Switzerland,Analyst,3,0,Positive,Media,Junior,Junior,Cubicle,44,Ineligible
560,96694,100908,26687,32379,Switzerland,Analyst,3,0,Positive,Real Estate,Junior,Junior,Cubicle,6,Ineligible
564,275911,329732,212051,273257,Switzerland,VP,12,32,Neutral,Tech,VP,Senior,Shared,46,Ineligible
567,1908662,2410557,5575619,7091145,Switzerland,MD,20,363,Neutral,Pharma,Executive,Senior,Corner,9,Ineligible
580,94577,100954,27887,30327,Switzerland,Analyst,2,0,Positive,Law,Junior,Junior,Cubicle,2,Ineligible
593,72951,75915,20862,26548,Switzerland,Analyst,2,0,Negative,Retail,Junior,Junior,Cubicle,3,Ineligible
606,110808,111798,49155,55409,Switzerland,Associate,4,4,Neutral,Tech,Junior,Junior,Cubicle,25,Ineligible
610,240323,272700,200838,215500,Switzerland,VP,7,28,Neutral,Tech,VP,Senior,Shared,18,Ineligible
616,75490,78081,22972,24057,Switzerland,Analyst,1,0,Neutral,Tech,Junior,Junior,Cubicle,18,Ineligible
621,89808,94589,30752,30945,Switzerland,Analyst,1,0,Positive,Pharma,Junior,Junior,Cubicle,31,Ineligible
623,91960,104363,22679,36216,Switzerland,Analyst,2,0,Positive,Pharma,Junior,Junior,Cubicle,19,Ineligible
624,79915,83492,23445,26276,Switzerland,Analyst,3,0,Neutral,Law,Junior,Junior,Cubicle,12,Ineligible
625,89600,87074,28109,23150,Switzerland,Analyst,2,0,Positive,Tech,Junior,Junior,Cubicle,34,Ineligible
632,87885,85323,21613,24189,Switzerland,Analyst,1,0,Positive,Retail,Junior,Junior,Cubicle,35,Ineligible
633,294387,329968,257954,279151,Switzerland,VP,17,31,Neutral,Pharma,VP,Senior,Shared,44,Ineligible
635,132476,139628,67286,64165,Switzerland,Associate,4,5,Positive,Pharma,Junior,Junior,Cubicle,29,Ineligible
646,96596,102730,31672,26439,Switzerland,Analyst,2,0,Positive,Tech,Junior,Junior,Cubicle,17,Ineligible
650,81766,88454,25844,27538,Switzerland,Analyst,3,0,Neutral,Real Estate,Junior,Junior,Cubicle,18,Ineligible
653,67210,70140,23465,21957,Switzerland,Analyst,2,0,Negative,Pharma,Junior,Junior,Cubicle,16,Ineligible
655,102156,106584,51137,58505,Switzerland,Associate,5,4,Negative,Tech,Junior,Junior,Cubicle,26,Ineligible
656,283997,314231,242316,260160,Switzerland,VP,13,32,Neutral,Pharma,VP,Senior,Shared,8,Ineligible
657,1787514,2332210,5349162,7130943,Switzerland,MD,18,341,Negative,Media,Executive,Senior,Corner,24,Ineligible
665,296456,335865,233510,276157,Switzerland,VP,11,33,Positive,Pharma,VP,Senior,Shared,37,Ineligible
677,117099,122316,60443,66675,Switzerland,Associate,6,3,Neutral,Real Estate,Junior,Junior,Cubicle,46,Ineligible
681,296385,334242,231105,266917,Switzerland,VP,15,32,Positive,Media,VP,Senior,Shared,38,Ineligible
682,72181,74163,21436,23771,Switzerland,Analyst,2,0,Neutral,Media,Junior,Junior,Cubicle,42,Ineligible
693,81353,87231,20937,21715,Switzerland,Analyst,2,0,Neutral,Tech,Junior,Junior,Cubicle,30,Ineligible
694,98164,100941,31591,28341,Switzerland,Analyst,2,0,Positive,Retail,Junior,Junior,Cubicle,10,Ineligible
695,77190,83738,22803,20133,Switzerland,Analyst,2,0,Neutral,Real Estate,Junior,Junior,Cubicle,23,Ineligible
696,1697633,2098952,5065465,6173511,Switzerland,MD,19,320,Neutral,Real Estate,Executive,Senior,Corner,1,Ineligible
719,280873,313496,221576,254917,Switzerland,VP,11,34,Neutral,Real Estate,VP,Senior,Shared,19,Ineligible
720,120647,138005,60968,63968,Switzerland,Associate,7,3,Neutral,Pharma,Junior,Junior,Cubicle,7,Ineligible
721,71668,78745,19376,23509,Switzerland,Analyst,1,0,Neutral,Retail,Junior,Junior,Cubicle,39,Ineligible
727,81928,91199,25901,26216,Switzerland,Analyst,1,0,Neutral,Tech,Junior,Junior,Cubicle,21,Ineligible
732,81494,76292,21849,26175,Switzerland,Analyst,3,0,Neutral,Pharma,Junior,Junior,Cubicle,4,Ineligible
