ID,SalaryPY,SalaryCY,BonusPY,BonusCY,Region,Title,Years,Reports,Review,Sector,Level,Career,Office,Floor,Retirement
1,130579,139495,67443,63001,UK,Associate,6,4,Positive,Real Estate,Junior,Junior,Cubicle,31,Ineligible
4,120590,126568,54211,68458,UK,Associate,6,4,Positive,Pharma,Junior,Junior,Cubicle,20,Ineligible
6,96623,111132,50604,58701,UK,Associate,5,3,Neutral,Tech,Junior,Junior,Cubicle,23,Ineligible
11,85830,91853,43502,47079,UK,Associate,5,1,Neutral,Retail,Junior,Junior,Cubicle,43,Ineligible
14,251176,274833,201852,224656,UK,VP,13,29,Neutral,Media,VP,Senior,Shared,27,Ineligible
20,268750,315688,213135,255714,UK,VP,12,28,Positive,Pharma,VP,Senior,Shared,45,Ineligible
23,1812825,2391098,5558758,7165542,UK,MD,26,341,Neutral,Retail,Executive,Senior,Corner,1,Eligible
49,61800,62582,19339,22534,UK,Analyst,3,0,Neutral,Real Estate,Junior,Junior,Cubicle,27,Ineligible
55,1725454,2087549,5201205,6294616,UK,MD,16,329,Positive,Media,Executive,Senior,Corner,1,Ineligible
61,66351,65883,21858,20956,UK,Analyst,2,0,Neutral,Pharma,Junior,Junior,Cubicle,28,Ineligible
66,60426,60362,17924,19393,UK,Analyst,1,0,Neutral,Real Estate,Junior,Junior,Cubicle,12,Ineligible
70,1888991,2508074,5717548,7450661,UK,MD,23,360,Neutral,Real Estate,Executive,Senior,Corner,11,Eligible
73,73932,78453,19259,23821,UK,Analyst,1,0,Positive,Law,Junior,Junior,Cubicle,42,Ineligible
75,89426,93961,26253,27242,UK,Analyst,2,0,Positive,Tech,Junior,Junior,Cubicle,12,Ineligible
82,85623,89167,28597,26003,UK,Analyst,3,0,Positive,Real Estate,Junior,Junior,Cubicle,46,Ineligible
93,59929,63729,15618,17865,UK,Analyst,2,0,Neutral,Real Estate,Junior,Junior,Cubicle,31,Ineligible
99,81838,86561,25973,24626,UK,Analyst,2,0,Positive,Tech,Junior,Junior,Cubicle,45,Ineligible
107,105765,106237,49782,49943,UK,Associate,6,2,Positive,Real Estate,Junior,Junior,Cubicle,19,Ineligible
110,80916,83383,25101,28927,UK,Analyst,2,0,Positive,Media,Junior,Junior,Cubicle,33,Ineligible
126,67599,71003,21343,23086,UK,Analyst,2,0,Neutral,Real Estate,Junior,Junior,Cubicle,30,Ineligible
143,63500,68401,18391,18715,UK,Analyst,2,0,Neutral,Pharma,Junior,Junior,Cubicle,2,Ineligible
153,83674,88909,25531,29080,UK,Analyst,2,0,Positive,Retail,Junior,Junior,Cubicle,27,Ineligible
160,280456,298271,209097,235258,UK,VP,15,32,Neutral,Pharma,VP,Senior,Shared,27,Ineligible
163,229516,257145,183661,204847,UK,VP,7,29,Neutral,Retail,VP,Senior,Shared,25,Ineligible
167,67753,75218,23895,21128,UK,Analyst,3,0,Neutral,Pharma,Junior,Junior,Cubicle,31,Ineligible
168,81504,84061,26153,26765,UK,Analyst,2,0,Positive,Tech,Junior,Junior,Cubicle,43,Ineligible
172,292428,333505,235406,263248,UK,VP,18,32,Neutral,Tech,VP,Senior,Shared,42,Ineligible
