Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Geo_TRACT,TotPop,MalePop,FemalePop,AvgHHSize,MedianHHIncome
36081000100,14000US36081000100,"Census Tract 1, Queens County, New York","Census Tract 1, Queens County, New York",ny,140,0,ACSSF,6526,36,81,100,7575,3876,3699,1.93,137147
36081000200,14000US36081000200,"Census Tract 2, Queens County, New York","Census Tract 2, Queens County, New York",ny,140,0,ACSSF,6527,36,81,200,3323,1710,1613,3.45,67619
36081000400,14000US36081000400,"Census Tract 4, Queens County, New York","Census Tract 4, Queens County, New York",ny,140,0,ACSSF,6528,36,81,400,5231,2419,2812,4.15,59566
36081000600,14000US36081000600,"Census Tract 6, Queens County, New York","Census Tract 6, Queens County, New York",ny,140,0,ACSSF,6529,36,81,600,4142,2119,2023,3.96,80352
36081000700,14000US36081000700,"Census Tract 7, Queens County, New York","Census Tract 7, Queens County, New York",ny,140,0,ACSSF,6530,36,81,700,6132,3384,2748,2.14,123658
36081000800,14000US36081000800,"Census Tract 8, Queens County, New York","Census Tract 8, Queens County, New York",ny,140,0,ACSSF,6531,36,81,800,3679,1912,1767,3.8,70324
36081001000,14000US36081001000,"Census Tract 10, Queens County, New York","Census Tract 10, Queens County, New York",ny,140,0,ACSSF,6532,36,81,1000,4305,2279,2026,4.45,79432
36081001200,14000US36081001200,"Census Tract 12, Queens County, New York","Census Tract 12, Queens County, New York",ny,140,0,ACSSF,6533,36,81,1200,4392,2149,2243,3.46,65392
36081001400,14000US36081001400,"Census Tract 14, Queens County, New York","Census Tract 14, Queens County, New York",ny,140,0,ACSSF,6534,36,81,1400,3903,2061,1842,3.72,64535
36081001600,14000US36081001600,"Census Tract 16, Queens County, New York","Census Tract 16, Queens County, New York",ny,140,0,ACSSF,6535,36,81,1600,2848,1411,1437,3.54,78359
36081001800,14000US36081001800,"Census Tract 18, Queens County, New York","Census Tract 18, Queens County, New York",ny,140,0,ACSSF,6536,36,81,1800,3129,1441,1688,3.68,67279
36081001900,14000US36081001900,"Census Tract 19, Queens County, New York","Census Tract 19, Queens County, New York",ny,140,0,ACSSF,6537,36,81,1900,2347,1167,1180,1.85,130917
36081002000,14000US36081002000,"Census Tract 20, Queens County, New York","Census Tract 20, Queens County, New York",ny,140,0,ACSSF,6538,36,81,2000,2009,957,1052,4.06,89226
36081002200,14000US36081002200,"Census Tract 22, Queens County, New York","Census Tract 22, Queens County, New York",ny,140,0,ACSSF,6539,36,81,2200,2351,1130,1221,3.09,70833
36081002400,14000US36081002400,"Census Tract 24, Queens County, New York","Census Tract 24, Queens County, New York",ny,140,0,ACSSF,6540,36,81,2400,2355,1163,1192,3.61,70089
36081002500,14000US36081002500,"Census Tract 25, Queens County, New York","Census Tract 25, Queens County, New York",ny,140,0,ACSSF,6541,36,81,2500,7411,3223,4188,2.29,18060
36081002600,14000US36081002600,"Census Tract 26, Queens County, New York","Census Tract 26, Queens County, New York",ny,140,0,ACSSF,6542,36,81,2600,2476,1283,1193,3.92,80677
36081002800,14000US36081002800,"Census Tract 28, Queens County, New York","Census Tract 28, Queens County, New York",ny,140,0,ACSSF,6543,36,81,2800,3216,1718,1498,3.51,63438
36081003000,14000US36081003000,"Census Tract 30, Queens County, New York","Census Tract 30, Queens County, New York",ny,140,0,ACSSF,6544,36,81,3000,1528,754,774,3.67,43152
36081003100,14000US36081003100,"Census Tract 31, Queens County, New York","Census Tract 31, Queens County, New York",ny,140,0,ACSSF,6545,36,81,3100,1015,462,553,2.47,56250
36081003200,14000US36081003200,"Census Tract 32, Queens County, New York","Census Tract 32, Queens County, New York",ny,140,0,ACSSF,6546,36,81,3200,1688,823,865,3.36,61411
36081003300,14000US36081003300,"Census Tract 33, Queens County, New York","Census Tract 33, Queens County, New York",ny,140,0,ACSSF,6547,36,81,3300,2966,1600,1366,2.37,62961
36081003400,14000US36081003400,"Census Tract 34, Queens County, New York","Census Tract 34, Queens County, New York",ny,140,0,ACSSF,6548,36,81,3400,2561,1243,1318,3.89,71000
36081003600,14000US36081003600,"Census Tract 36, Queens County, New York","Census Tract 36, Queens County, New York",ny,140,0,ACSSF,6549,36,81,3600,3748,1771,1977,4.18,79549
36081003700,14000US36081003700,"Census Tract 37, Queens County, New York","Census Tract 37, Queens County, New York",ny,140,0,ACSSF,6550,36,81,3700,0,0,0,,
36081003800,14000US36081003800,"Census Tract 38, Queens County, New York","Census Tract 38, Queens County, New York",ny,140,0,ACSSF,6551,36,81,3800,2681,1212,1469,3.5,73281
36081003900,14000US36081003900,"Census Tract 39, Queens County, New York","Census Tract 39, Queens County, New York",ny,140,0,ACSSF,6552,36,81,3900,1690,879,811,3.17,43194
36081004001,14000US36081004001,"Census Tract 40.01, Queens County, New York","Census Tract 40.01, Queens County, New York",ny,140,0,ACSSF,6553,36,81,4001,2422,1158,1264,3.76,72250
