Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Geo_TRACT,TotPop,MalePop,FemalePop,AvgHHSize,MedianHHIncome
36085000300,14000US36085000300,"Census Tract 3, Richmond County, New York","Census Tract 3, Richmond County, New York",ny,140,0,ACSSF,7237,36,85,300,1927,1014,913,1.82,72386
36085000600,14000US36085000600,"Census Tract 6, Richmond County, New York","Census Tract 6, Richmond County, New York",ny,140,0,ACSSF,7238,36,85,600,2217,1049,1168,1.93,32778
36085000700,14000US36085000700,"Census Tract 7, Richmond County, New York","Census Tract 7, Richmond County, New York",ny,140,0,ACSSF,7239,36,85,700,6051,2663,3388,2.52,40147
36085000800,14000US36085000800,"Census Tract 8, Richmond County, New York","Census Tract 8, Richmond County, New York",ny,140,0,ACSSF,7240,36,85,800,5843,2910,2933,2.87,80440
36085000900,14000US36085000900,"Census Tract 9, Richmond County, New York","Census Tract 9, Richmond County, New York",ny,140,0,ACSSF,7241,36,85,900,1757,871,886,2.72,55250
36085001100,14000US36085001100,"Census Tract 11, Richmond County, New York","Census Tract 11, Richmond County, New York",ny,140,0,ACSSF,7242,36,85,1100,3346,1493,1853,2.7,44343
36085001700,14000US36085001700,"Census Tract 17, Richmond County, New York","Census Tract 17, Richmond County, New York",ny,140,0,ACSSF,7243,36,85,1700,1452,769,683,2.43,41154
36085001800,14000US36085001800,"Census Tract 18, Richmond County, New York","Census Tract 18, Richmond County, New York",ny,140,0,ACSSF,7244,36,85,1800,572,329,243,2.83,83438
36085002001,14000US36085002001,"Census Tract 20.01, Richmond County, New York","Census Tract 20.01, Richmond County, New York",ny,140,0,ACSSF,7245,36,85,2001,2648,1285,1363,2.47,87768
36085002002,14000US36085002002,"Census Tract 20.02, Richmond County, New York","Census Tract 20.02, Richmond County, New York",ny,140,0,ACSSF,7246,36,85,2002,3467,1646,1821,2.62,95588
36085002100,14000US36085002100,"Census Tract 21, Richmond County, New York","Census Tract 21, Richmond County, New York",ny,140,0,ACSSF,7247,36,85,2100,4403,2180,2223,2.96,54081
36085002700,14000US36085002700,"Census Tract 27, Richmond County, New York","Census Tract 27, Richmond County, New York",ny,140,0,ACSSF,7248,36,85,2700,2376,1285,1091,3.31,25938
36085002900,14000US36085002900,"Census Tract 29, Richmond County, New York","Census Tract 29, Richmond County, New York",ny,140,0,ACSSF,7249,36,85,2900,4982,2304,2678,2.71,28793
36085003300,14000US36085003300,"Census Tract 33, Richmond County, New York","Census Tract 33, Richmond County, New York",ny,140,0,ACSSF,7250,36,85,3300,3571,1654,1917,2.58,77556
36085003600,14000US36085003600,"Census Tract 36, Richmond County, New York","Census Tract 36, Richmond County, New York",ny,140,0,ACSSF,7251,36,85,3600,2769,1467,1302,3.32,70573
36085003900,14000US36085003900,"Census Tract 39, Richmond County, New York","Census Tract 39, Richmond County, New York",ny,140,0,ACSSF,7252,36,85,3900,2431,1052,1379,2.16,69539
36085004000,14000US36085004000,"Census Tract 40, Richmond County, New York","Census Tract 40, Richmond County, New York",ny,140,0,ACSSF,7253,36,85,4000,12211,5728,6483,2.94,39222
36085004700,14000US36085004700,"Census Tract 47, Richmond County, New York","Census Tract 47, Richmond County, New York",ny,140,0,ACSSF,7254,36,85,4700,3127,1488,1639,2.41,69290
36085005000,14000US36085005000,"Census Tract 50, Richmond County, New York","Census Tract 50, Richmond County, New York",ny,140,0,ACSSF,7255,36,85,5000,4105,1984,2121,2.82,67361
36085005900,14000US36085005900,"Census Tract 59, Richmond County, New York","Census Tract 59, Richmond County, New York",ny,140,0,ACSSF,7256,36,85,5900,2986,1334,1652,2.61,81691
36085006400,14000US36085006400,"Census Tract 64, Richmond County, New York","Census Tract 64, Richmond County, New York",ny,140,0,ACSSF,7257,36,85,6400,3501,1326,2175,2.9,50750
36085006700,14000US36085006700,"Census Tract 67, Richmond County, New York","Census Tract 67, Richmond County, New York",ny,140,0,ACSSF,7258,36,85,6700,2650,1429,1221,2.52,103265
36085007000,14000US36085007000,"Census Tract 70, Richmond County, New York","Census Tract 70, Richmond County, New York",ny,140,0,ACSSF,7259,36,85,7000,8895,4267,4628,3.28,67163
36085007400,14000US36085007400,"Census Tract 74, Richmond County, New York","Census Tract 74, Richmond County, New York",ny,140,0,ACSSF,7260,36,85,7400,4583,2110,2473,2.92,77413
36085007500,14000US36085007500,"Census Tract 75, Richmond County, New York","Census Tract 75, Richmond County, New York",ny,140,0,ACSSF,7261,36,85,7500,4060,2297,1763,3.43,50688
36085007700,14000US36085007700,"Census Tract 77, Richmond County, New York","Census Tract 77, Richmond County, New York",ny,140,0,ACSSF,7262,36,85,7700,1370,618,752,3.11,42917
36085008100,14000US36085008100,"Census Tract 81, Richmond County, New York","Census Tract 81, Richmond County, New York",ny,140,0,ACSSF,7263,36,85,8100,4501,2242,2259,2.45,37176
36085009601,14000US36085009601,"Census Tract 96.01, Richmond County, New York","Census Tract 96.01, Richmond County, New York",ny,140,0,ACSSF,7264,36,85,9601,3984,1868,2116,2.42,66927
36085009602,14000US36085009602,"Census Tract 96.02, Richmond County, New York","Census Tract 96.02, Richmond County, New York",ny,140,0,ACSSF,7265,36,85,9602,3367,1661,1706,2.58,83308
36085009700,14000US36085009700,"Census Tract 97, Richmond County, New York","Census Tract 97, Richmond County, New York",ny,140,0,ACSSF,7266,36,85,9700,4526,2447,2079,2.92,70985
36085010500,14000US36085010500,"Census Tract 105, Richmond County, New York","Census Tract 105, Richmond County, New York",ny,140,0,ACSSF,7267,36,85,10500,4663,2236,2427,2.8,67865
36085011201,14000US36085011201,"Census Tract 112.01, Richmond County, New York","Census Tract 112.01, Richmond County, New York",ny,140,0,ACSSF,7268,36,85,11201,6007,2797,3210,2.96,66404
36085011202,14000US36085011202,"Census Tract 112.02, Richmond County, New York","Census Tract 112.02, Richmond County, New York",ny,140,0,ACSSF,7269,36,85,11202,5417,2771,2646,2.83,79525
36085011401,14000US36085011401,"Census Tract 114.01, Richmond County, New York","Census Tract 114.01, Richmond County, New York",ny,140,0,ACSSF,7270,36,85,11401,2848,1376,1472,2.23,29444
36085011402,14000US36085011402,"Census Tract 114.02, Richmond County, New York","Census Tract 114.02, Richmond County, New York",ny,140,0,ACSSF,7271,36,85,11402,3743,1716,2027,2.92,80957
