Segment,Airline,Place,Airport,Long,Lat
1,Norwegian Air,Origin,JFK,-73.77890015,40.63980103
1,Norwegian Air,Destination,LGW,-0.190277993679047,51.1481018066406
2,Singapore Airlines,Origin,LHR,-0.461941,51.4706
2,Singapore Airlines,Destination,SIN,103.994003,1.35019
3,Singapore Airlines,Origin,SIN,103.994003,1.35019
3,Singapore Airlines,Destination,HKG,113.915000916,22.3089008331
4,Cathay Pacific,Origin,HKG,113.915000916,22.3089008331
4,Cathay Pacific,Destination,AKL,174.792007446,-37.0080986023
5,Air New Zealand,Origin,AKL,174.792007446,-37.0080986023
5,Air New Zealand,Destination,ZQN,168.738998413,-45.0210990906
6,Air New Zealand,Origin,ZQN,168.738998413,-45.0210990906
6,Air New Zealand,Destination,AKL,174.792007446,-37.0080986023
7,Air New Zealand,Origin,AKL,174.792007446,-37.0080986023
7,Air New Zealand,Destination,PPT,-149.606994629,-17.5536994934
8,Air Tahiti,Origin,PPT,-149.606994629,-17.5536994934
8,Air Tahiti,Destination,BOB,-151.751007080078,-16.4444007873535
9,Air Tahiti,Origin,BOB,-151.751007080078,-16.4444007873535
9,Air Tahiti,Destination,MOZ,-149.761993408203,-17.4899997711182
10,Terevau,Origin,MOZ,-149.761993408203,-17.4899997711182
10,Terevau,Destination,PPT,-149.606994629,-17.5536994934
11,Air Tahiti Nui,Origin,PPT,-149.606994629,-17.5536994934
11,Air Tahiti Nui,Destination,LAX,-118.4079971,33.94250107
12,Alaska Airlines,Origin,LAX,-118.4079971,33.94250107
12,Alaska Airlines,Destination,SJC,-121.929000854492,37.3625984191895
13,JetBlue,Origin,SFO,-122.375,37.6189994812012
13,JetBlue,Destination,JFK,-73.77890015,40.63980103
